Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,2639190434.0,2699688128.0,2829137402.0,2799551757.0,2948541515.0,3031058193.0,3110310152.0,3207501870.0,3390584964.0,3408781937.0,3499611693.0,3646616191.0,3759498227.0,3827427083.0,3870918952.0,3998736179.0,3976984780.0,4028347902.0,4065792694.0,4114355656.0,4155765873.0,4237664713.0,4290318530.0,4255755833.0
"China, Hong Kong SAR",778967.0,768483.0,717540.0,702192.0,639462.0,654446.0,625043.0,588466.0,526617.0,580387.0,574789.0,545387.0,552540.0,554423.0,534033.0,536300.0,524246.0,537590.0,535366.0,547205.0,534714.0,497994.0,528714.0,457491.0
"China, Macao SAR",42184.0,42016.0,39872.0,38303.0,37705.0,37960.0,38408.0,40039.0,31456.0,31092.0,30785.0,32684.0,33227.0,33314.0,32736.0,30964.0,29210.0,28652.0,27290.0,24955.0,25183.0,24920.0,24703.0,24113.0
"China, Taiwan Province of",29547434.0,27354984.0,28136241.0,26677326.0,24585192.0,22327920.0,23506738.0,22305001.0,22183833.0,22303106.0,22802661.0,23928879.0,22909975.0,22578923.0,23459987.0,22819133.0,22362296.0,23697409.0,24551142.0,23404289.0,23751527.0,23066546.0,22520731.0,20918418.0
"China, mainland",2608821849.0,2671522645.0,2800243748.0,2772133936.0,2923279156.0,3008037867.0,3086139963.0,3184568364.0,3367843059.0,3385867352.0,3476203457.0,3622109242.0,3736002485.0,3804260423.0,3846892197.0,3975349782.0,3954069028.0,4004084251.0,4040678897.0,4090379207.0,4131454448.0,4214075253.0,4267244383.0,4234355811.0
Colombia,129156335.0,129541977.0,138636079.0,145473195.0,149389823.0,147434000.0,144635322.0,143222428.0,139120501.0,144913133.0,134875655.0,141119592.0,141635186.0,148968615.0,155553566.0,154928296.0,154465454.0,131761930.0,154285611.0,157435188.0,160309241.0,159192532.0,164193892.0,151000188.0
Comoros,446681.0,455977.0,361045.0,363546.0,408772.0,447045.0,494595.0,513032.0,532725.0,551543.0,566145.0,575677.0,581936.0,586946.0,576543.0,587571.0,601364.0,612193.0,623356.0,632497.0,639104.0,650554.0,652843.0,645934.0
Congo,3637237.0,3702691.0,3748432.0,4086263.0,4269951.0,4444524.0,4528208.0,4666082.0,4874623.0,5127533.0,5077446.0,5188595.0,5525931.0,5692826.0,6082044.0,6093522.0,6017170.0,6221969.0,6320676.0,6299177.0,6368226.0,6480482.0,6491060.0,6068767.0
Cook Islands,27144.0,25161.0,23372.0,17179.0,14326.0,14745.0,15382.0,14763.0,14173.0,13065.0,12601.0,12163.0,11803.0,11963.0,11456.0,11120.0,11088.0,10660.0,10626.0,10278.0,10259.0,10176.0,10214.0,10115.0
Costa Rica,20725978.0,21395549.0,20243468.0,22206110.0,22259578.0,22686701.0,26128786.0,25513299.0,24191474.0,24050226.0,25231967.0,25512768.0,27450284.0,29072113.0,29220005.0,27779078.0,29399566.0,30211712.0,29913206.0,27666634.0,28825750.0,28809431.0,27928952.0,25991558.0
Croatia,11171022.0,13752470.0,15194609.0,10845191.0,14486315.0,15043537.0,16116795.0,15180243.0,17814166.0,16950497.0,15815560.0,15525367.0,13958393.0,15943840.0,15994031.0,14610520.0,17495974.0,14886832.0,14707006.0,14797242.0,15941317.0,14523248.0,12614066.0,10890370.0
Cuba,95598647.0,87790450.0,92920207.0,69836836.0,73945209.0,45057138.0,39756636.0,42673932.0,49627231.0,48705004.0,40381377.0,41449472.0,47744977.0,50933269.0,53894032.0,57591971.0,55865026.0,59279268.0,43583339.0,51545110.0,41810144.0,33544245.0,30825723.0,28448243.0
Cyprus,2126012.0,2249310.0,2349800.0,2352881.0,2329481.0,2121803.0,1982618.0,1940266.0,1702220.0,1722046.0,1744078.0,1915965.0,1781756.0,1678924.0,1650447.0,1814296.0,1696362.0,1743824.0,1674176.0,1757445.0,1794814.0,1875407.0,1809749.0,1647023.0
Czechia,38490558.0,41124525.0,38922567.0,34844964.0,42712316.0,40143741.0,36289240.0,38134545.0,39755113.0,38808907.0,35951017.0,41120285.0,37255600.0,39466169.0,44060195.0,40406410.0,43597304.0,41496764.0,37900499.0,38702105.0,39554109.0,40812905.0,40707676.0,34867840.0
Côte d'Ivoire,31726202.0,31517717.0,32092014.0,31289043.0,32225924.0,33329974.0,34477600.0,34319951.0,35959262.0,34087289.0,36174837.0,36875478.0,39463351.0,40902280.0,46512280.0,50814172.0,49736450.0,53462775.0,55103180.0,57142924.0,58674133.0,59846994.0,61855374.0,62162228.0
